Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
11050,Chhatrapati Return,1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,ADIJ,AHMEDABAD JN.
11050,Chhatrapati Return,2,CSSI,"FOOD & SUPPLY GOVT. OF WEST BENGAL, COSSIPORE ROAD",10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,ADIJ,AHMEDABAD JN.
11050,Chhatrapati Return,3,KLP,KOTALPUKUR,13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,ADIJ,AHMEDABAD JN.
11050,Chhatrapati Return,4,ADIJ,AHMEDABAD JN.,16:00,,400,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,ADIJ,AHMEDABAD JN.
11051,"Chhatrapati 10,",1,SURM,SOLAPUR,,08:00,0,SURM,SOLAPUR,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11051,"Chhatrapati 10,",2,KHAT,KHAT,10:00,10:10,100,SURM,SOLAPUR,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11051,"Chhatrapati 10,",3,DURP,DURGAPURI,13:00,13:10,250,SURM,SOLAPUR,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11051,"Chhatrapati 10,",4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,SURM,SOLAPUR,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11052,"Chhatrapati 10, Return",1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,SURM,SOLAPUR
11052,"Chhatrapati 10, Return",2,SHNF,SHEOSINGHPURA,10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,SURM,SOLAPUR
11052,"Chhatrapati 10, Return",3,GWV,GOWDAVALLI HALT,13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,SURM,SOLAPUR
11052,"Chhatrapati 10, Return",4,SURM,SOLAPUR,16:00,,400,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,SURM,SOLAPUR
11055,Gorakhpur Godaan,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11055,Gorakhpur Godaan,2,SRKT,SARKANTARA BH,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11055,Gorakhpur Godaan,3,SMDM,SAMUDRAM,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11055,Gorakhpur Godaan,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11056,Gorakhpur Godaan Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11056,Gorakhpur Godaan Return,2,SAGM,SAGMA,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11056,Gorakhpur Godaan Return,3,BIJR,BIJOOR HALT,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11056,Gorakhpur Godaan Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11057,Amritsar,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11057,Amritsar,2,PUS,PHUSRO,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11057,Amritsar,3,RNU,RATNAPUR,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11057,Amritsar,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11058,Amritsar Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11058,Amritsar Return,2,DBG,DARBHANGA JN.,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11058,Amritsar Return,3,NMZ,NEW MAL JN.,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11058,Amritsar Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11059,Chhapra Godaan,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11059,Chhapra Godaan,2,TFAH,TRADE FAIR AUTHORITY RLY SDNG,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11059,Chhapra Godaan,3,GJL,GAJRAULA JN.,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11059,Chhapra Godaan,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11060,Chhapra Godaan Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11060,Chhapra Godaan Return,2,CTF,CHITGIDDA,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11060,Chhapra Godaan Return,3,MIA,MANIA,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11060,Chhapra Godaan Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11061,Muzaffarpur,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11061,Muzaffarpur,2,KNLE,KANALE HALT,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11061,Muzaffarpur,3,HBLN,HBL NAGAR,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11061,Muzaffarpur,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11062,Muzaffarpur Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11062,Muzaffarpur Return,2,RSD,"RAIPUR STORE DEPOT SDG, RAIPUR",10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11062,Muzaffarpur Return,3,SNDD,SINDHU DURG,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11062,Muzaffarpur Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11063,Salem,1,MAS,CHENNAI CENTRAL,,08:00,0,MAS,CHENNAI CENTRAL,MS,CHENNAI EGMORE
11063,Salem,2,PAL,PALASNER,10:00,10:10,100,MAS,CHENNAI CENTRAL,MS,CHENNAI EGMORE
11063,Salem,3,ETK,ETAKKOT,13:00,13:10,250,MAS,CHENNAI CENTRAL,MS,CHENNAI EGMORE
11063,Salem,4,MS,CHENNAI EGMORE,16:00,,400,MAS,CHENNAI CENTRAL,MS,CHENNAI EGMORE
11064,Salem Return,1,MS,CHENNAI EGMORE,,08:00,0,MS,CHENNAI EGMORE,MAS,CHENNAI CENTRAL
11064,Salem Return,2,SMKD,SAMUKTALA ROAD,10:00,10:10,100,MS,CHENNAI EGMORE,MAS,CHENNAI CENTRAL
11064,Salem Return,3,JOX,JANAI ROAD,13:00,13:10,250,MS,CHENNAI EGMORE,MAS,CHENNAI CENTRAL
11064,Salem Return,4,MAS,CHENNAI CENTRAL,16:00,,400,MS,CHENNAI EGMORE,MAS,CHENNAI CENTRAL
11065,Darbhanga,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11065,Darbhanga,2,URT,UMRALA,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11065,Darbhanga,3,VINA,VINA,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11065,Darbhanga,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11066,Darbhanga Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11066,Darbhanga Return,2,BDXT,BASAI DHANKOT HALT,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11066,Darbhanga Return,3,FRG,FARINGAPETE HALT,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11066,Darbhanga Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11067,Faizabad Saket,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11067,Faizabad Saket,2,ASK,ARSIKERE JN.,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11067,Faizabad Saket,3,JJP,JHANJHAR PUR,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11067,Faizabad Saket,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11068,Faizabad Saket Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11068,Faizabad Saket Return,2,KSWR,KALMESHWAR,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11068,Faizabad Saket Return,3,GZL,GAZULAPALLI,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11068,Faizabad Saket Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11069,Allahabad,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11069,Allahabad,2,BHEL,BHEL HALT,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11069,Allahabad,3,DWA,DAILWARA,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11069,Allahabad,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11070,Allahabad Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11070,Allahabad Return,2,PDZ,PILODA,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11070,Allahabad Return,3,SWM,SAWAI MADHOPUR JN.,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11070,Allahabad Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11071,Varanasi Kamayani,1,LOKM4,LOKMANYATILAK,,08:00,0,LOKM4,LOKMANYATILAK,T,(T)
11071,Varanasi Kamayani,2,JIR,JIRA ROAD,10:00,10:10,100,LOKM4,LOKMANYATILAK,T,(T)
11071,Varanasi Kamayani,3,DXG,DHARAN GAON,13:00,13:10,250,LOKM4,LOKMANYATILAK,T,(T)
11071,Varanasi Kamayani,4,T,(T),16:00,,400,LOKM4,LOKMANYATILAK,T,(T)
11072,Varanasi Kamayani Return,1,T,(T),,08:00,0,T,(T),LOKM4,LOKMANYATILAK
11072,Varanasi Kamayani Return,2,SCKR,SALICHAUKA ROAD,10:00,10:10,100,T,(T),LOKM4,LOKMANYATILAK
11072,Varanasi Kamayani Return,3,MTPR,RAIMAHTPUR,13:00,13:10,250,T,(T),LOKM4,LOKMANYATILAK
11072,Varanasi Kamayani Return,4,LOKM4,LOKMANYATILAK,16:00,,400,T,(T),LOKM4,LOKMANYATILAK
11077,Tawi Jhelum,1,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",,08:00,0,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI"
11077,Tawi Jhelum,2,KRTH,KIRATGARH,10:00,10:10,100,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI"
11077,Tawi Jhelum,3,RTPS,"KARNATAKA POWER CORP. LTD, KRISHNA",13:00,13:10,250,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI"
11077,Tawi Jhelum,4,FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI",16:00,,400,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI"
11078,Tawi Jhelum Return,1,FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI",,08:00,0,FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI",BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11078,Tawi Jhelum Return,2,MGW,MAGARWARA,10:00,10:10,100,FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI",BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11078,Tawi Jhelum Return,3,CHP,CHHAPI,13:00,13:10,250,FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI",BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11078,Tawi Jhelum Return,4,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",16:00,,400,FCSJ,"FOOD CORPORATION OF INDIA, JAMMU TAWI",BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11093,Mahanagari,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,ANAS,ANAS
11093,Mahanagari,2,GUSG,"GUN SHOP SDG, JABALPUR",10:00,10:10,100,WB,MUMBAI,ANAS,ANAS
11093,Mahanagari,3,CGTA,CHEGUNTA,13:00,13:10,250,WB,MUMBAI,ANAS,ANAS
11093,Mahanagari,4,ANAS,ANAS,16:00,,400,WB,MUMBAI,ANAS,ANAS
11094,Mahanagari Return,1,ANAS,ANAS,,08:00,0,ANAS,ANAS,WB,MUMBAI
11094,Mahanagari Return,2,GLA,GARLA,10:00,10:10,100,ANAS,ANAS,WB,MUMBAI
11094,Mahanagari Return,3,TNUE,TINDAULI,13:00,13:10,250,ANAS,ANAS,WB,MUMBAI
11094,Mahanagari Return,4,WB,MUMBAI,16:00,,400,ANAS,ANAS,WB,MUMBAI
11095,Ahimsa,1,ADIJ,AHMEDABAD JN.,,08:00,0,ADIJ,AHMEDABAD JN.,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11095,Ahimsa,2,PCEK,"PVT SDG OF CHATTISGARH STATE ELECTRICITY BOARD, PHASE-I",10:00,10:10,100,ADIJ,AHMEDABAD JN.,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11095,Ahimsa,3,NR3,OKA BYEPASS B CABIN,13:00,13:10,250,ADIJ,AHMEDABAD JN.,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11095,Ahimsa,4,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",16:00,,400,ADIJ,AHMEDABAD JN.,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11096,Ahimsa Return,1,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",,08:00,0,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ADIJ,AHMEDABAD JN.
11096,Ahimsa Return,2,GTNR,GOMTI NAGAR,10:00,10:10,100,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ADIJ,AHMEDABAD JN.
11096,Ahimsa Return,3,TPKS,TIKAPERA CAR SHED,13:00,13:10,250,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ADIJ,AHMEDABAD JN.
11096,Ahimsa Return,4,ADIJ,AHMEDABAD JN.,16:00,,400,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ADIJ,AHMEDABAD JN.
11097,Poorna,1,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",,08:00,0,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ERG,ERNAKULAM
11097,Poorna,2,PNBG,PATNA RAJENDRA NAGAR GOODS,10:00,10:10,100,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ERG,ERNAKULAM
11097,Poorna,3,LM,LIMBDI,13:00,13:10,250,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ERG,ERNAKULAM
11097,Poorna,4,ERG,ERNAKULAM,16:00,,400,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",ERG,ERNAKULAM
11098,Poorna Return,1,ERG,ERNAKULAM,,08:00,0,ERG,ERNAKULAM,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11098,Poorna Return,2,PMPE,PAMPORA,10:00,10:10,100,ERG,ERNAKULAM,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11098,Poorna Return,3,KSNG,KESINGA,13:00,13:10,250,ERG,ERNAKULAM,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11098,Poorna Return,4,BOSG,"BULK OIL SDG GHORPURI, PUNE JN.",16:00,,400,ERG,ERNAKULAM,BOSG,"BULK OIL SDG GHORPURI, PUNE JN."
11103,(T),1,DYSG,"DEFENCE YARD SDG, JHANSI",,08:00,0,DYSG,"DEFENCE YARD SDG, JHANSI",BA,BANDRA
11103,(T),2,KJLU,KHARI JHALU,10:00,10:10,100,DYSG,"DEFENCE YARD SDG, JHANSI",BA,BANDRA
11103,(T),3,ESEG,"INDIAN OIL CORP. SDG NO.2, CHENNAI BEACH JN.",13:00,13:10,250,DYSG,"DEFENCE YARD SDG, JHANSI",BA,BANDRA
11103,(T),4,BA,BANDRA,16:00,,400,DYSG,"DEFENCE YARD SDG, JHANSI",BA,BANDRA
11104,(T) Return,1,BA,BANDRA,,08:00,0,BA,BANDRA,DYSG,"DEFENCE YARD SDG, JHANSI"
11104,(T) Return,2,CGB,CHAGAN HALT,10:00,10:10,100,BA,BANDRA,DYSG,"DEFENCE YARD SDG, JHANSI"
11104,(T) Return,3,MZL,MIRZAPALI,13:00,13:10,250,BA,BANDRA,DYSG,"DEFENCE YARD SDG, JHANSI"
11104,(T) Return,4,DYSG,"DEFENCE YARD SDG, JHANSI",16:00,,400,BA,BANDRA,DYSG,"DEFENCE YARD SDG, JHANSI"
11105,Pratham Swatantrata,1,KOAA,KOLKATA,,08:00,0,KOAA,KOLKATA,DYSG,"DEFENCE YARD SDG, JHANSI"
11105,Pratham Swatantrata,2,MSH,MAHESANA JN.,10:00,10:10,100,KOAA,KOLKATA,DYSG,"DEFENCE YARD SDG, JHANSI"
11105,Pratham Swatantrata,3,BNL,BEVINAHALU,13:00,13:10,250,KOAA,KOLKATA,DYSG,"DEFENCE YARD SDG, JHANSI"
11105,Pratham Swatantrata,4,DYSG,"DEFENCE YARD SDG, JHANSI",16:00,,400,KOAA,KOLKATA,DYSG,"DEFENCE YARD SDG, JHANSI"
11106,Pratham Swatantrata Return,1,DYSG,"DEFENCE YARD SDG, JHANSI",,08:00,0,DYSG,"DEFENCE YARD SDG, JHANSI",KOAA,KOLKATA
11106,Pratham Swatantrata Return,2,TV,TENTALAV,10:00,10:10,100,DYSG,"DEFENCE YARD SDG, JHANSI",KOAA,KOLKATA
11106,Pratham Swatantrata Return,3,BBO,BABUGARH,13:00,13:10,250,DYSG,"DEFENCE YARD SDG, JHANSI",KOAA,KOLKATA
11106,Pratham Swatantrata Return,4,KOAA,KOLKATA,16:00,,400,DYSG,"DEFENCE YARD SDG, JHANSI",KOAA,KOLKATA
11107,Bundelkhand,1,GWO,GWALIOR,,08:00,0,GWO,GWALIOR,ANAS,ANAS
11107,Bundelkhand,2,BSCS,BOKARO STEEL PLANT,10:00,10:10,100,GWO,GWALIOR,ANAS,ANAS
11107,Bundelkhand,3,CNDB,CHANDUR BAZAR,13:00,13:10,250,GWO,GWALIOR,ANAS,ANAS
11107,Bundelkhand,4,ANAS,ANAS,16:00,,400,GWO,GWALIOR,ANAS,ANAS
11108,Bundelkhand Return,1,ANAS,ANAS,,08:00,0,ANAS,ANAS,GWO,GWALIOR
11108,Bundelkhand Return,2,RJUA,RAJURA,10:00,10:10,100,ANAS,ANAS,GWO,GWALIOR
11108,Bundelkhand Return,3,CRND,CHORANDA JN.,13:00,13:10,250,ANAS,ANAS,GWO,GWALIOR
11108,Bundelkhand Return,4,GWO,GWALIOR,16:00,,400,ANAS,ANAS,GWO,GWALIOR
11109,Intercity,1,DYSG,"DEFENCE YARD SDG, JHANSI",,08:00,0,DYSG,"DEFENCE YARD SDG, JHANSI",LBH,LUCKNOW
11109,Intercity,2,WDL,WANDAL,10:00,10:10,100,DYSG,"DEFENCE YARD SDG, JHANSI",LBH,LUCKNOW
11109,Intercity,3,SLJR,SALGA JHARI,13:00,13:10,250,DYSG,"DEFENCE YARD SDG, JHANSI",LBH,LUCKNOW
11109,Intercity,4,LBH,LUCKNOW,16:00,,400,DYSG,"DEFENCE YARD SDG, JHANSI",LBH,LUCKNOW
11110,Intercity Return,1,LBH,LUCKNOW,,08:00,0,LBH,LUCKNOW,DYSG,"DEFENCE YARD SDG, JHANSI"
11110,Intercity Return,2,LDWA,LAKSHADEEP - ANDROPH,10:00,10:10,100,LBH,LUCKNOW,DYSG,"DEFENCE YARD SDG, JHANSI"
11110,Intercity Return,3,PRGA,PAHARJAGANGAUR HALT,13:00,13:10,250,LBH,LUCKNOW,DYSG,"DEFENCE YARD SDG, JHANSI"
11110,Intercity Return,4,DYSG,"DEFENCE YARD SDG, JHANSI",16:00,,400,LBH,LUCKNOW,DYSG,"DEFENCE YARD SDG, JHANSI"
11123,Mail,1,ARA,ARA,,08:00,0,ARA,ARA,GWO,GWALIOR
11123,Mail,2,BGR,BHAGDARA,10:00,10:10,100,ARA,ARA,GWO,GWALIOR
11123,Mail,3,KOV,KIRLOSKAR VADI,13:00,13:10,250,ARA,ARA,GWO,GWALIOR
11123,Mail,4,GWO,GWALIOR,16:00,,400,ARA,ARA,GWO,GWALIOR
11124,Mail Return,1,GWO,GWALIOR,,08:00,0,GWO,GWALIOR,ARA,ARA
11124,Mail Return,2,KNWA,KHANDWA,10:00,10:10,100,GWO,GWALIOR,ARA,ARA
11124,Mail Return,3,PRDL,PARADOL,13:00,13:10,250,GWO,GWALIOR,ARA,ARA
11124,Mail Return,4,ARA,ARA,16:00,,400,GWO,GWALIOR,ARA,ARA
11201,Ajni (Nagpur),1,LOKM,LOKMANYA TILAK,,08:00,0,LOKM,LOKMANYA TILAK,T,(T)
11201,Ajni (Nagpur),2,MKGH,MOKAMA GHAT,10:00,10:10,100,LOKM,LOKMANYA TILAK,T,(T)
11201,Ajni (Nagpur),3,NKZ,NAYA KANALI,13:00,13:10,250,LOKM,LOKMANYA TILAK,T,(T)
11201,Ajni (Nagpur),4,T,(T),16:00,,400,LOKM,LOKMANYA TILAK,T,(T)
11202,Ajni (Nagpur) Return,1,T,(T),,08:00,0,T,(T),LOKM,LOKMANYA TILAK
11202,Ajni (Nagpur) Return,2,GNR,GADIGANURU,10:00,10:10,100,T,(T),LOKM,LOKMANYA TILAK
11202,Ajni (Nagpur) Return,3,OMDC,OMDC SDG NO. 2 BARA JAMDA,13:00,13:10,250,T,(T),LOKM,LOKMANYA TILAK
11202,Ajni (Nagpur) Return,4,LOKM,LOKMANYA TILAK,16:00,,400,T,(T),LOKM,LOKMANYA TILAK
11205,Nizamabad,1,LOKM,LOKMANYA TILAK,,08:00,0,LOKM,LOKMANYA TILAK,T,(T)
11205,Nizamabad,2,AIIN,AJMER JN.,10:00,10:10,100,LOKM,LOKMANYA TILAK,T,(T)
11205,Nizamabad,3,SLHA,SALHANA,13:00,13:10,250,LOKM,LOKMANYA TILAK,T,(T)
11205,Nizamabad,4,T,(T),16:00,,400,LOKM,LOKMANYA TILAK,T,(T)
11206,Nizamabad Return,1,T,(T),,08:00,0,T,(T),LOKM,LOKMANYA TILAK
11206,Nizamabad Return,2,SYI,SINGRENI COLLERIES,10:00,10:10,100,T,(T),LOKM,LOKMANYA TILAK
11206,Nizamabad Return,3,BTCP,BHANORA,13:00,13:10,250,T,(T),LOKM,LOKMANYA TILAK
11206,Nizamabad Return,4,LOKM,LOKMANYA TILAK,16:00,,400,T,(T),LOKM,LOKMANYA TILAK
11271,Vindhyachal,1,ET,ITARSI JN.,,08:00,0,ET,ITARSI JN.,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL"
11271,Vindhyachal,2,SLRD,SURLA ROAD,10:00,10:10,100,ET,ITARSI JN.,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL"
11271,Vindhyachal,3,NPD,NAWAPARA ROAD,13:00,13:10,250,ET,ITARSI JN.,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL"
11271,Vindhyachal,4,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL",16:00,,400,ET,ITARSI JN.,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL"
11272,Vindhyachal Return,1,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL",,08:00,0,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL",ET,ITARSI JN.
11272,Vindhyachal Return,2,TRSR,TARSAI,10:00,10:10,100,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL",ET,ITARSI JN.
11272,Vindhyachal Return,3,GWP,GANGAWAPUR HALT,13:00,13:10,250,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL",ET,ITARSI JN.
11272,Vindhyachal Return,4,ET,ITARSI JN.,16:00,,400,BCSG,"BURMAH SHELL OIL CO. SIDING, BHOPAL",ET,ITARSI JN.
11301,Udyan,1,WB,MUMBAI,,08:00,0,WB,MUMBAI,BNC,BANGALORE CANTT.
11301,Udyan,2,USLP,USILAMPATTI,10:00,10:10,100,WB,MUMBAI,BNC,BANGALORE CANTT.
11301,Udyan,3,RSNS,"RIHAND STPP OF NTPC SDG, JHAROKHAS",13:00,13:10,250,WB,MUMBAI,BNC,BANGALORE CANTT.
11301,Udyan,4,BNC,BANGALORE CANTT.,16:00,,400,WB,MUMBAI,BNC,BANGALORE CANTT.
11302,Udyan Return,1,BNC,BANGALORE CANTT.,,08:00,0,BNC,BANGALORE CANTT.,WB,MUMBAI
11302,Udyan Return,2,KBC,KIUL BRIDGE,10:00,10:10,100,BNC,BANGALORE CANTT.,WB,MUMBAI
11302,Udyan Return,3,BSLC,BHUSAWAL C CABIN,13:00,13:10,250,BNC,BANGALORE CANTT.,WB,MUMBAI
11302,Udyan Return,4,WB,MUMBAI,16:00,,400,BNC,BANGALORE CANTT.,WB,MUMBAI
11303,Chhatrapati,1,BAD,BAD,,08:00,0,BAD,BAD,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11303,Chhatrapati,2,ICGH,ICHANGADU HALT,10:00,10:10,100,BAD,BAD,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11303,Chhatrapati,3,LSSG,"SAND SIDING, LUNI JN.",13:00,13:10,250,BAD,BAD,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11303,Chhatrapati,4,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,16:00,,400,BAD,BAD,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD
11304,Chhatrapati Return,1,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,,08:00,0,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,BAD,BAD
11304,Chhatrapati Return,2,CPT,CHANNA PATNA,10:00,10:10,100,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,BAD,BAD
11304,Chhatrapati Return,3,MEPH,"MES POWER HOUSE SIDING, AMBALA CANT",13:00,13:10,250,APCN,APSWC M/S.CHALLA SRINIVASAREDDY&OTHERS SDG TO SERVE BY NKD,BAD,BAD
